respond_id,pet,count,pet vs category,Category
1,Duck,6,1. Duck - Waterfowl,Waterfowl
2,Snake,9,2. Snake - Reptile,Reptile
3,Samoyed,1,3. Samoyed - Dog,Dog
4,Dog,6,23. Dog - Dog,Dog
5,British Shorthair,8,4. British Shorthair - Cat,Cat
6,British Shorthair,8,4. British Shorthair - Cat,Cat
7,Fish,3,5. Fish - Aquatic Life,Aquatic Life
8,Bunny,2,6. Bunny - Rabbit,Rabbit
9,Golden Retriever,3,7. Golden Retriever - Dog,Dog
10,Samoyed,6,3. Samoyed - Dog,Dog
11,Guinea Pig,3,8. Guinea Pig - Rodent,Rodent
12,American Shorthair,6,9. American Shorthair - Cat,Cat
13,Parrot,5,10. Parrot - Bird,Bird
14,Duck,7,1. Duck - Waterfowl,Waterfowl
15,Cat,0,11. Cat - Felines,Cat
16,Parrot,8,10. Parrot - Bird,Bird
17,Fish,4,5. Fish - Aquatic Life,Aquatic Life
18,Chicken,6,12. Chicken - Fowl,Fowl
19,Turtle,5,13. Turtle - Reptile,Reptile
20,Bird,8,14. Bird - Aviary,Aviary
21,Hens,2,15. Hens - Fowl,Fowl
22,Goldfish,3,16. Goldfish - Aquatic Life,Aquatic Life
23,Bunny,9,6. Bunny - Rabbit,Rabbit
24,White Shepherd,7,17. White Shepherd - Dog,Dog
25,Golden Retriever,5,7. Golden Retriever - Dog,Dog
26,Rat,3,18. Rat - Rodent,Rodent
27,Golden Retriever,4,7. Golden Retriever - Dog,Dog
28,Bird,5,14. Bird - Aviary,Aviary
29,Snake,3,2. Snake - Reptile,Reptile
30,Snake,3,2. Snake - Reptile,Reptile
31,Dog,7,23. Dog - Dog,Dog
32,Guinea Pig,9,8. Guinea Pig - Rodent,Rodent
33,British Shorthair,9,4. British Shorthair - Cat,Cat
34,Turtle,9,13. Turtle - Reptile,Reptile
35,Golden Retriever,7,7. Golden Retriever - Dog,Dog
36,Golden Retriever,3,7. Golden Retriever - Dog,Dog
37,Golden Retriever,2,7. Golden Retriever - Dog,Dog
38,Chicken,3,12. Chicken - Fowl,Fowl
39,Fish,9,5. Fish - Aquatic Life,Aquatic Life
40,Dog,7,23. Dog - Dog,Dog
41,Cat,7,11. Cat - Felines,Cat
42,Bunny,5,6. Bunny - Rabbit,Rabbit
43,Dog,1,23. Dog - Dog,Dog
44,Rabbit,2,19. Rabbit - Lagomorpha,Lagomorpha
45,White Shepherd,2,17. White Shepherd - Dog,Dog
46,British Shorthair,8,4. British Shorthair - Cat,Cat
47,Horse,1,20. Horse - Equidae,Equidae
48,Guinea Pig,5,8. Guinea Pig - Rodent,Rodent
49,Kitten,8,21. Kitten - Cat,Cat
50,Dog,4,23. Dog - Dog,Dog
51,Dog,0,23. Dog - Dog,Dog
52,American Shorthair,2,9. American Shorthair - Cat,Cat
53,Samoyed,5,3. Samoyed - Dog,Dog
54,Bird,5,14. Bird - Aviary,Aviary
55,Parrot,0,10. Parrot - Bird,Bird
56,Goldfish,8,16. Goldfish - Aquatic Life,Aquatic Life
57,White Shepherd,1,17. White Shepherd - Dog,Dog
58,Turtle,1,13. Turtle - Reptile,Reptile
59,Snake,0,2. Snake - Reptile,Reptile
60,American Shorthair,3,9. American Shorthair - Cat,Cat
61,Bunny,8,6. Bunny - Rabbit,Rabbit
62,Rabbit,8,19. Rabbit - Lagomorpha,Lagomorpha
63,Cat,4,11. Cat - Felines,Cat
64,Cat,4,11. Cat - Felines,Cat
65,Fish,0,5. Fish - Aquatic Life,Aquatic Life
66,Bunny,9,6. Bunny - Rabbit,Rabbit
67,British Shorthair,3,4. British Shorthair - Cat,Cat
68,Parrot,7,10. Parrot - Bird,Bird
69,Horse,3,20. Horse - Equidae,Equidae
70,Chicken,2,12. Chicken - Fowl,Fowl
71,Guinea Pig,1,8. Guinea Pig - Rodent,Rodent
72,Dog,1,23. Dog - Dog,Dog
73,Chicken,2,12. Chicken - Fowl,Fowl
74,British Shorthair,1,4. British Shorthair - Cat,Cat
75,Samoyed,4,3. Samoyed - Dog,Dog
76,Duck,2,1. Duck - Waterfowl,Waterfowl
77,Rabbit,5,19. Rabbit - Lagomorpha,Lagomorpha
78,White Shepherd,5,17. White Shepherd - Dog,Dog
79,Horse,5,20. Horse - Equidae,Equidae
80,American Shorthair,2,9. American Shorthair - Cat,Cat
81,Parrot,5,10. Parrot - Bird,Bird
82,American Shorthair,7,9. American Shorthair - Cat,Cat
83,Snake,7,2. Snake - Reptile,Reptile
84,White Shepherd,6,17. White Shepherd - Dog,Dog
